词汇,类别
难,负面情绪
抓狂,风险因素
伤,生存痛苦
怒,生存痛苦
世界,自杀意图
苦,风险因素
怕,风险因素
爱情,生存痛苦
痛,风险因素
衰,风险因素
愿,生存痛苦
悲,风险因素
谢谢,自杀意图
疯,风险因素
断,自杀意图
杀,自杀意图
晚安,现在
疼,风险因素
弃,生存痛苦
社会,生存痛苦
骂,生存痛苦
选择,风险因素
日子,生存痛苦
尼玛,生存痛苦
讨厌,生存痛苦
淚,风险因素
妈的,生存痛苦
回忆          ,生存痛苦
惨,风险因素
忧,风险因素
你妹,生存痛苦
错过,生存痛苦
不见,自杀意图
愛你,自杀意图
现实,生存痛苦
逃,生存痛苦
不喜欢,风险因素
严重,生存痛苦
可怕,风险因素
假的,生存痛苦
坑爹,生存痛苦
TM,生存痛苦
亡,自杀意图
睡了,风险因素
唯一,生存痛苦
想念,生存痛苦
虐,风险因素
无语,生存痛苦
卧槽,生存痛苦
解决,生存痛苦
单身,生存痛苦
至少,生存痛苦
没了,生存痛苦
不对,生存痛苦
傻逼,生存痛苦
懒得理你,生存痛苦
憾,自杀意图
付出,生存痛苦
刺激,风险因素
凌乱,风险因素
就这样,生存痛苦
理想,生存痛苦
MD,生存痛苦
救命,生存痛苦
摔,风险因素
嫉妒,生存痛苦
心疼,风险因素
祸,生存痛苦
沉默,风险因素
我靠       ,生存痛苦
上帝,自杀意图
静静,自杀意图
错误,生存痛苦
莫名,风险因素
艹,生存痛苦
命运,自杀意图
鸭梨,生存痛苦
SB,生存痛苦
没想到,生存痛苦
耗,风险因素
呼吸,风险因素
呜呜呜,风险因素
慌,风险因素
思念,生存痛苦
会好,生存痛苦
究竟,生存痛苦
睡眠,风险因素
世上,生存痛苦
MB,生存痛苦
公平,生存痛苦
他妈的,生存痛苦
傷,风险因素
光明,生存痛苦
疯子,生存痛苦
为毛,生存痛苦
所有人,生存痛苦
TMD,生存痛苦
心酸,风险因素
憋,风险因素
不安,风险因素
不行了,生存痛苦
远离,自杀意图
只好,生存痛苦
不要脸,生存痛苦
黑暗,生存痛苦
无耻,生存痛苦
平静,风险因素
伤感,风险因素
555,风险因素
哪怕,生存痛苦
放手,自杀意图
分开,生存痛苦
我操,生存痛苦
打击,生存痛苦
唯一的,自杀意图
不应该,生存痛苦
瘋,生存痛苦
遗忘,生存痛苦
宁愿,生存痛苦
只不过,负面情绪
不公,生存痛苦
神经病,生存痛苦
留给,自杀意图
人渣,生存痛苦
前途,生存痛苦
感激,自杀意图
睡吧,自杀意图
心事,风险因素
禽兽,生存痛苦
贱人,生存痛苦
莫名其妙,负面情绪
过敏,风险因素
无言,生存痛苦
丢人,生存痛苦
终究,生存痛苦
逃避,生存痛苦
诅咒,生存痛苦
安静的,自杀意图
疾病,风险因素
不顺,风险因素
堕落,风险因素
缓解,风险因素
情愿,生存痛苦
疲劳,生存痛苦
沉重,生存痛苦
信念,负面情绪
发泄,生存痛苦
入睡,风险因素
黑夜,风险因素
去世,生存痛苦
NND,生存痛苦
逝去,生存痛苦
强迫症,生存痛苦
释放,生存痛苦
大哭,风险因素
静静的,自杀意图
讽刺,生存痛苦
反省,生存痛苦
++,生存痛苦
愚蠢,生存痛苦
指望,生存痛苦
down,风险因素
卑微,负面情绪
打败,生存痛苦
我草,生存痛苦
我日,生存痛苦
鄙視,生存痛苦
乱七八糟,负面情绪
天理,生存痛苦
伤痛,风险因素
烦死了,负面情绪
极端,负面情绪
歧视,生存痛苦
闹心,风险因素
很烦,负面情绪
阴影,生存痛苦
冲击,生存痛苦
安息,自杀意图
虐待,生存痛苦
妥协,生存痛苦
暴躁,负面情绪
疯癫,生存痛苦
徘徊,风险因素
无尽,风险因素
夜深,风险因素
丢脸,生存痛苦
黎明,风险因素
破产,生存痛苦
照顾自己,自杀意图
甘心,生存痛苦
cao,生存痛苦
无常,生存痛苦
悶,风险因素
操蛋,生存痛苦
怎么办啊,生存痛苦
逃离,自杀意图
死心,生存痛苦
伤痕,生存痛苦
妄想,风险因素
放纵,风险因素
厌恶,生存痛苦
死得,生存痛苦
气愤,生存痛苦
敗,生存痛苦
晕倒,风险因素
凄凉,风险因素
悬崖,生存痛苦
苍天,风险因素
冰冷,风险因素
懦弱,负面情绪
破碎,生存痛苦
耻辱,生存痛苦
困惑,风险因素
出卖,生存痛苦
发疯,生存痛苦
滚蛋,生存痛苦
检讨,生存痛苦
倾诉,生存痛苦
王八蛋,生存痛苦
喧嚣,自杀意图
放空,风险因素
伤悲,风险因素
酸痛,风险因素
可恨,生存痛苦
疼死,风险因素
好受,风险因素
挽回,生存痛苦
振作,生存痛苦
哀悼,风险因素
犯困,风险因素
释怀,生存痛苦
该多好,生存痛苦
何方,风险因素
狠心,生存痛苦
埋怨,生存痛苦
肉体,自杀意图
出路,生存痛苦
有罪,生存痛苦
很难受,风险因素
茫然,风险因素
恐慌,风险因素
糟蹋,生存痛苦
诉说,生存痛苦
荒唐,生存痛苦
世俗,自杀意图
泥煤,生存痛苦
无趣,生存痛苦
感伤,风险因素
